R_age,P_age,R_yrsed,P_yrsed,R_race,P_race,R_political,P_political,R_religion,P_religion,R_work,R_house,R_rent,R_citydweller,R_region,same_sex_couple,relationship_quality,coresident,relationship_length_start,age_difference,edu_difference,rac_difference,pol_difference,relig_difference,LGB_status,union_status,broke_up,together_end
43,32.0,13.0,13.0,NH white,NH white,democrat,democrat,other christian,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,excellent,Yes,7.0,11.0,0.0,no,no,yes,G,married,no,yes
55,71.0,17.0,17.0,NH white,NH white,democrat,democrat,catholic,eastern orthodox,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,36.0,-16.0,0.0,no,no,yes,G,married,no,yes
50,43.0,13.0,17.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",none,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,10.0,7.0,-4.0,no,no,yes,B,married,w2,no
45,43.0,17.0,16.0, NH Asian Pac Islander,NH white,democrat,other,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,7.0,2.0,1.0,yes,yes,no,B,CU_DP,no,yes
66,54.0,13.0,13.0,NH white,Hispanic,republican,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,28.0,12.0,0.0,yes,yes,yes,G,none,no,yes
52,45.0,16.0,14.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,No,2.5,7.0,2.0,no,no,no,G,none,no,yes
38,33.0,13.0,13.0, NH black, NH black,democrat,democrat,catholic,baptist - any denomination,unemployed,a one-family house attached to one or more houses,rented for cash,metro,midwest,different sex couple,excellent,Yes,9.0,5.0,0.0,no,no,yes,B,none,no,yes
62,59.0,17.0,14.0, NH Amer Indian,NH white,democrat,democrat,"other non-christian, please specify",mormon,disabled,a one-family house attached to one or more houses,occupied without payment of cash rent,metro,west,same-sex couple,excellent,Yes,34.0,3.0,3.0,yes,no,yes,L,married,no,yes
42,35.0,13.0,11.0,NH white,Hispanic,democrat,other,none,catholic,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,13.0,7.0,2.0,yes,yes,yes,B,married,no,yes
49,61.0,17.0,16.0,NH white,NH white,democrat,democrat,hindu,hindu,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,25.0,-12.0,1.0,no,no,no,B,CU_DP,no,yes
32,32.0,13.0,12.0,NH white,Hispanic,republican,other,"other non-christian, please specify","other non-christian, please specify",disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south,different sex couple,good,Yes,14.0,0.0,1.0,yes,yes,no,B,married,no,yes
32,34.0,17.0,13.0, NH black,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,excellent,Yes,4.0,-2.0,4.0,yes,no,yes,B,married,no,yes
32,37.0,16.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",baptist - any denomination,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,2.5,-5.0,0.0,no,no,yes,G,none,no,yes
45,45.0,16.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,12.0,0.0,0.0,no,no,yes,G,none,no,yes
20,20.0,13.0,13.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",unemployed,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,5.0,0.0,0.0,no,no,yes,B,none,no,yes
46,47.0,13.0,13.0, NH Asian Pac Islander,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,rented for cash,metro,west,same-sex couple,good,Yes,16.0,-1.0,0.0,yes,no,yes,G,none,no,yes
56,50.0,17.0,16.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,No,0.45,6.0,1.0,no,no,yes,B,none,no,yes
65,50.0,16.0,16.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,25.0,15.0,0.0,no,no,no,L,married,no,yes
66,55.0,13.0,12.0, NH black, NH black,democrat,democrat,catholic,baptist - any denomination,working,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,excellent,No,26.0,11.0,1.0,no,no,yes,S,none,w3,no
37,44.0,13.0,13.0,Hispanic,NH white,republican,other,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,good,Yes,19.0,-7.0,0.0,yes,yes,no,S,married,no,yes
59,29.0,16.0,17.0,NH white,Hispanic,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,good,No,10.0,30.0,-1.0,yes,no,yes,B,married,no,yes
57,42.0,14.0,14.0,NH white,NH white,democrat,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest,same-sex couple,poor,Yes,8.0,15.0,0.0,no,yes,yes,L,none,w2,no
57,40.0,13.0,12.0,NH white,NH white,democrat,other,other christian,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,fair,Yes,20.0,17.0,1.0,no,yes,yes,G,none,w3,no
39,59.0,20.0,20.0,NH white,NH white,democrat,democrat,eastern orthodox,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,7.0,-20.0,0.0,no,no,yes,B,married,no,yes
58,38.0,16.0,17.0,NH white,NH white,democrat,democrat,jewish,jewish,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,17.0,20.0,-1.0,no,no,no,G,married,no,yes
63,64.0,16.0,16.0,NH white,NH white,republican,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,23.0,-1.0,0.0,no,yes,yes,B,none,no,yes
65,70.0,16.0,12.0,NH white,NH white,democrat,democrat,other christian,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south,same-sex couple,good,Yes,14.0,-5.0,4.0,no,no,yes,L,married,no,yes
51,57.0,12.0,12.0,NH white,NH white,democrat,democrat,baptist - any denomination,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,Yes,14.0,-6.0,0.0,no,no,no,B,married,no,yes
60,58.0,12.0,13.0,Hispanic,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,32.0,2.0,-1.0,yes,no,yes,G,married,no,yes
59,51.0,17.0,16.0,NH white,NH white,democrat,democrat,catholic,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,19.0,8.0,1.0,no,no,yes,B,none,no,yes
29,29.0,16.0,17.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,Yes,5.0,0.0,-1.0,no,no,no,S,married,no,yes
32,36.0,14.0,13.0,Hispanic,Hispanic,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,Yes,11.0,-4.0,1.0,no,no,yes,S,married,no,yes
39,36.0,16.0,14.0,NH white,NH white,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,10.0,3.0,2.0,no,no,no,B,none,no,yes
59,38.0,17.0,20.0,Hispanic,NH white,democrat,democrat,none,jewish,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,No,16.0,21.0,-3.0,yes,no,yes,B,none,no,yes
61,62.0,13.0,13.0,Hispanic,NH white,democrat,democrat,other christian,other christian,other,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,5.0,-1.0,0.0,yes,no,no,G,none,no,yes
44,50.0,16.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,17.0,-6.0,0.0,no,no,yes,L,none,no,yes
70,44.0,16.0,16.0,NH white,NH white,democrat,democrat,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,16.0,26.0,0.0,no,no,no,G,CU_DP,no,yes
62,49.0,17.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,5.0,13.0,0.0,no,no,yes,G,none,no,yes
53,51.0,20.0,17.0,NH white,NH white,democrat,democrat,jewish,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,No,4.0,2.0,3.0,no,no,yes,L,none,no,yes
40,50.0,12.0,12.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,No,4.0,-10.0,0.0,no,no,yes,G,CU_DP,no,yes
70,67.0,16.0,16.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,Yes,20.0,3.0,0.0,no,yes,yes,G,none,no,yes
35,31.0,14.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,14.0,4.0,-3.0,no,no,yes,S,married,no,yes
57,56.0,20.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",unemployed,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,38.0,1.0,4.0,no,no,yes,B,married,no,yes
45,32.0,20.0,12.0,NH white,NH white,republican,other,catholic,other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest,different sex couple,good,Yes,13.0,13.0,8.0,no,yes,yes,B,married,no,yes
47,46.0,13.0,13.0,NH white,NH white,democrat,republican,catholic,catholic,disabled,a mobile home,owned or being bought by you or someone in your household,metro,midwest,different sex couple,good,Yes,4.0,1.0,0.0,no,yes,no,B,none,no,yes
55,59.0,13.0,16.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast,different sex couple,excellent,Yes,28.0,-4.0,-3.0,no,yes,yes,B,none,no,yes
42,41.0,12.0,11.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,16.0,1.0,1.0,no,no,no,B,married,no,yes
50,48.0,16.0,16.0,NH white,NH white,democrat,other,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,good,Yes,32.0,2.0,0.0,no,yes,no,B,married,no,yes
48,46.0,16.0,16.0,NH white,NH white,republican,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,Yes,20.0,2.0,0.0,no,yes,yes,G,none,no,yes
58,60.0,17.0,10.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,7.0,-2.0,7.0,no,no,no,L,married,no,yes
62,73.0,17.0,17.0,NH white,NH white,democrat,democrat,none,catholic,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,14.0,-11.0,0.0,no,no,yes,G,married,no,yes
39,29.0,20.0,14.0,NH white,Hispanic,democrat,democrat,none,none,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,Yes,1.5,10.0,6.0,yes,no,no,G,none,no,yes
20,19.0,12.0,13.0,Hispanic, NH Asian Pac Islander,democrat,other,other christian,none,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,No,0.45,1.0,-1.0,yes,yes,yes,S,none,no,yes
62,63.0,13.0,14.0,NH white,NH white,democrat,other,none,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,northeast,different sex couple,excellent,Yes,28.0,-1.0,-1.0,no,yes,yes,S,married,no,yes
53,55.0,17.0,17.0,NH white,Hispanic,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,4.0,-2.0,0.0,yes,no,no,L,none,no,yes
58,52.0,16.0,16.0,NH white,NH white,democrat,democrat,none,none,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,excellent,No,0.15,6.0,0.0,no,no,no,G,none,w2,no
65,70.0,17.0,17.0,NH white,NH white,democrat,democrat,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,good,Yes,43.0,-5.0,0.0,no,no,no,B,married,no,yes
41,32.0,17.0,17.0,NH white,NH white,democrat,democrat,catholic,muslim,working,a one-family house attached to one or more houses,rented for cash,metro,midwest,same-sex couple,excellent,No,0.45,9.0,0.0,no,no,yes,G,none,w2,no
31,30.0,9.0,12.0,NH white,NH white,democrat,democrat,none,none,working,a mobile home,owned or being bought by you or someone in your household,non-metro,midwest,same-sex couple,good,Yes,12.0,1.0,-3.0,no,no,no,G,none,no,yes
45,57.0,13.0,12.0,NH white,Hispanic,democrat,democrat,catholic,catholic,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,10.0,-12.0,1.0,yes,no,no,G,none,no,yes
45,40.0,20.0,14.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,disabled,a mobile home,owned or being bought by you or someone in your household,non-metro,south,same-sex couple,excellent,Yes,2.5,5.0,6.0,no,no,yes,G,none,no,yes
47,38.0,17.0,17.0,Hispanic,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,6.0,9.0,0.0,yes,no,yes,G,none,no,yes
56,46.0,16.0,16.0,NH white,NH white,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,No,5.0,10.0,0.0,no,no,no,G,none,no,yes
53,47.0,16.0,16.0,NH white,NH white,democrat,democrat,none,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,14.0,6.0,0.0,no,no,yes,B,none,no,yes
51,52.0,16.0,13.0,NH white,NH white,democrat,other,jewish,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,17.0,-1.0,3.0,no,yes,yes,L,none,w2,no
41,45.0,17.0,12.0,NH white,NH white,democrat,other,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,Yes,10.0,-4.0,5.0,no,yes,no,B,married,no,yes
63,62.0,20.0,20.0,NH white,NH white,democrat,democrat,jewish,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,36.0,1.0,0.0,no,no,no,B,married,no,yes
45,42.0,16.0,17.0,NH white,NH white,democrat,democrat,jewish,eastern orthodox,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,Yes,15.0,3.0,-1.0,no,no,yes,G,none,no,yes
23,38.0,14.0,16.0,NH white,NH white,democrat,democrat,buddhist,none,working,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,excellent,Yes,4.0,-15.0,-2.0,no,no,yes,B,none,no,yes
57,53.0,17.0,16.0,NH white,NH white,democrat,democrat,catholic,none,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,excellent,Yes,17.0,4.0,1.0,no,no,yes,G,married,no,yes
39,36.0,17.0,20.0, NH black, NH black,democrat,democrat,"other non-christian, please specify",other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,fair,No,6.0,3.0,-3.0,no,no,yes,L,none,w3,no
62,61.0,12.0,12.0,NH white,NH white,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,excellent,Yes,37.0,1.0,0.0,no,no,no,S,married,no,yes
70,64.0,17.0,20.0,NH white,NH white,democrat,other,none,none,retired,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,No,37.0,6.0,-3.0,no,yes,no,G,none,w2,no
41,44.0,16.0,16.0,NH white,NH white,republican,republican,none,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,4.0,-3.0,0.0,no,no,yes,B,none,no,yes
61,55.0,13.0,13.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,south,different sex couple,good,No,2.5,6.0,0.0,no,yes,yes,S,none,no,yes
62,56.0,20.0,17.0,NH white,NH white,democrat,democrat,none,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,midwest,same-sex couple,excellent,Yes,37.0,6.0,3.0,no,no,yes,G,none,no,yes
30,43.0,12.0,13.0,NH white,NH white,democrat,other,baptist - any denomination,none,unemployed,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,different sex couple,excellent,Yes,4.0,-13.0,-1.0,no,yes,yes,S,CU_DP,no,yes
52,43.0,16.0,13.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,No,0.75,9.0,3.0,no,no,yes,B,none,no,yes
53,47.0,14.0,13.0,Hispanic,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,4.0,6.0,1.0,yes,no,yes,G,CU_DP,no,yes
69,44.0,13.0,12.0,NH white, NH black,democrat,democrat,none,other christian,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,15.0,25.0,1.0,yes,no,yes,G,none,no,yes
36,40.0,16.0,16.0,NH white, NH Asian Pac Islander,republican,other,none,buddhist,working,a one-family house attached to one or more houses,rented for cash,metro,west,different sex couple,good,No,0.75,-4.0,0.0,yes,yes,yes,B,none,no,yes
55,66.0,16.0,7.5,NH white,NH white,democrat,other,catholic,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,Yes,29.0,-11.0,8.5,no,yes,yes,G,none,no,yes
51,55.0,16.0,16.0,NH white,NH white,democrat,other,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,excellent,Yes,32.0,-4.0,0.0,no,yes,no,B,married,no,yes
35,41.0,12.0,20.0,NH white,NH white,democrat,other,"other non-christian, please specify","other non-christian, please specify",working,a one-family house detached from any other house,rented for cash,metro,midwest,different sex couple,excellent,Yes,4.0,-6.0,-8.0,no,yes,no,B,CU_DP,no,yes
29,41.0,17.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,working,a one-family house detached from any other house,rented for cash,metro,west,different sex couple,excellent,Yes,10.0,-12.0,1.0,no,no,yes,B,married,no,yes
54,48.0,13.0,20.0, NH Amer Indian,NH white,democrat,democrat,"other non-christian, please specify",none,disabled,a building with 2 or more apartments,rented for cash,metro,midwest,same-sex couple,excellent,No,0.75,6.0,-7.0,yes,no,yes,B,none,w2,no
38,38.0,12.0,20.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",none,working,a building with 2 or more apartments,rented for cash,metro,south,same-sex couple,good,Yes,4.0,0.0,-8.0,no,no,yes,G,none,no,yes
60,48.0,13.0,13.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,24.0,12.0,0.0,no,yes,yes,L,CU_DP,no,yes
60,60.0,16.0,12.0,NH white, NH Asian Pac Islander,democrat,democrat,catholic,mormon,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,4.0,0.0,4.0,yes,no,yes,B,none,no,yes
61,53.0,16.0,16.0,NH white,NH white,republican,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",jewish,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,fair,No,8.0,8.0,0.0,no,yes,yes,B,none,no,yes
45,46.0,13.0,9.0,NH white,NH white,republican,other,other christian,other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,20.0,-1.0,4.0,no,yes,no,G,married,no,yes
53,54.0,17.0,17.0,NH white,NH white,democrat,democrat,other christian,other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,fair,Yes,40.0,-1.0,0.0,no,no,no,B,married,no,yes
66,67.0,13.0,13.0,NH white,NH white,republican,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,41.0,-1.0,0.0,no,no,yes,B,married,no,yes
62,60.0,14.0,13.0,NH white,Hispanic,other,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,40.0,2.0,1.0,yes,no,yes,B,married,no,yes
63,65.0,14.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,23.0,-2.0,-3.0,no,no,yes,L,married,no,yes
70,56.0,13.0,13.0,NH white,NH white,democrat,democrat,other christian,other christian,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,17.0,14.0,0.0,no,no,no,B,married,no,yes
55,61.0,16.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a building with 2 or more apartments,occupied without payment of cash rent,metro,west,same-sex couple,good,Yes,13.0,-6.0,0.0,no,no,yes,G,married,no,yes
32,28.0,13.0,16.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,8.0,4.0,-3.0,no,no,yes,B,married,no,yes
49,43.0,13.0,14.0,NH white,NH white,republican,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,Yes,27.0,6.0,-1.0,no,yes,yes,B,married,no,yes
56,52.0,20.0,13.0,Hispanic,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,26.0,4.0,7.0,yes,no,no,B,none,no,yes
56,57.0,13.0,16.0,NH white,NH white,democrat,democrat,catholic,catholic,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,37.0,-1.0,-3.0,no,no,no,G,none,no,yes
33,33.0,16.0,13.0,NH white,NH white,democrat,democrat,catholic,catholic,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,9.0,0.0,3.0,no,no,no,G,married,no,yes
56,64.0,20.0,17.0,Hispanic,NH white,democrat,republican,"other non-christian, please specify","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,No,9.0,-8.0,3.0,yes,yes,yes,G,CU_DP,w2,no
72,65.0,11.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,retired,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,Yes,35.0,7.0,-5.0,no,no,yes,G,none,no,yes
50,64.0,17.0,13.0,NH white,NH white,democrat,democrat,jewish,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,15.0,-14.0,4.0,no,no,no,L,married,no,yes
27,28.0,14.0,9.0,NH white,NH white,republican,other,pentecostal,baptist - any denomination,unemployed,a mobile home,rented for cash,metro,south,different sex couple,very poor,Yes,11.0,-1.0,5.0,no,yes,yes,S,married,no,yes
52,35.0,12.0,12.0,Hispanic,Hispanic,republican,democrat,baptist - any denomination,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,12.0,17.0,0.0,no,yes,yes,G,none,no,yes
66,64.0,17.0,20.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,No,10.0,2.0,-3.0,no,yes,yes,G,none,no,yes
